t,i_d
0.0045000000000000005,-6.863347803963508e-08
0.0105,-6.896583667801988e-08
0.023,-6.819033318836805e-08
0.049,-6.669471931550555e-08
0.10600000000000001,-6.503292612340027e-08
0.2275,-6.320495361209252e-08
0.488,-6.19309121648333e-08
1.048,-5.467441522600315e-08
2.249,-4.703016654236724e-08
4.8265,-5.2237118544225906e-08
10.3585,-4.309725598772748e-08
22.2295,-4.03276006675453e-08
47.705,-3.417896585679205e-08
102.32,-2.5482248151480056e-08
219.69,-2.7310220662807948e-08
471.385,-2.4651351555427415e-08
1011.665,-2.370966874657313e-08
2170.6679999999997,-3.046762772775558e-08
4660.464,-2.2767985937739e-08
9998.742,-2.8251903471642083e-08
