t,i_d
0.0108137,-5.232447022910135e-07
0.012588700000000001,-5.619644836668811e-07
0.014156100000000001,-5.330492821244023e-07
0.0156657,-5.261805369303981e-07
0.0178005,-5.137724810960497e-07
0.0208296,-5.137170879896488e-07
0.0238246,-5.364282616149937e-07
0.026845300000000002,-5.524368693655366e-07
0.030803200000000003,-5.466759862995689e-07
0.0357926,-6.095471620672631e-07
0.0407905,-5.602472973683952e-07
0.046758,-5.689994081800877e-07
0.0537416,-5.545972005152493e-07
0.0617247,-5.662297528599258e-07
0.07070810000000001,-5.749264705652378e-07
0.0816704,-5.553173108984801e-07
0.0936357,-5.305565923362445e-07
0.1078259,-5.596933663043467e-07
0.12338950000000001,-5.250726748023212e-07
0.14212570000000002,-5.021399287513732e-07
0.16308340000000002,-5.172622467994627e-07
0.18796800000000002,-5.003673493464663e-07
0.21593230000000002,-5.443494758306538e-07
0.2478547,-5.24130991993467e-07
0.28574720000000003,-5.316090613579004e-07
0.3276326,-5.131631569256205e-07
0.3772341,-4.821984104462107e-07
0.4330102,-5.110582188822885e-07
0.49788360000000004,-4.7660370669948575e-07
0.5732937,-4.461928912840841e-07
0.65797,-4.740002306985262e-07
0.7572425,-4.788748240620202e-07
0.8698904000000001,-4.7123057537836415e-07
1.0007033,-4.4824243622101524e-07
1.1500806000000001,-5.075130600724949e-07
1.3226353000000002,-5.167637088418352e-07
1.5208376000000001,-5.027492529218226e-07
1.7483869,-4.270268764685733e-07
2.0099595000000003,-4.962128663662233e-07
2.3111302,-5.338801787204348e-07
2.6565676000000003,-4.757728101034331e-07
3.0545096000000003,-3.8996888828481105e-07
3.5122003000000004,-4.1605904140074706e-07
4.0377029,-4.843587415959234e-07
4.6418342,-4.834724518934699e-07
5.3377087,-4.814229069565789e-07
6.1360581000000005,-4.794287551260486e-07
7.0555475,-4.843033484895225e-07
8.1115432,-5.323291717411312e-07
9.3262854,-4.588779126504568e-07
10.722786000000001,-5.378130892750546e-07
12.3289927,-4.850788519791743e-07
14.174896400000002,-5.017521770065473e-07
16.2983839,-4.7117518227196333e-07
18.738937200000002,-4.96268259472624e-07
21.545152100000003,-5.628507733693345e-07
24.7710861,-6.097687344928866e-07
28.480559500000002,-6.006288719363277e-07
32.746357,-5.606904422196017e-07
37.6502281,-6.269959905842878e-07
43.288477500000006,-6.268852043714863e-07
49.770989900000004,-6.176899487085265e-07
57.2239975,-6.520890677849486e-07
65.79394830000001,-6.708673308556536e-07
75.6472835,-7.825398333645882e-07
86.97549520000001,-6.972898426099946e-07
100.0005239,-8.394839467471124e-07
114.9758673,-8.775944039525305e-07
132.1946363,-8.717781277802023e-07
151.9916454,-9.013580465995312e-07
174.7538451,-1.0519719029099567e-06
200.92385280000002,-9.765264919887318e-07
231.013765,-1.182588847808799e-06
265.60958500000004,-1.2070172077326095e-06
305.3860134,-1.3758553960496914e-06
351.11972330000003,-1.3120425374731631e-06
403.70191350000005,-1.5063061616293312e-06
464.15938480000005,-1.5215392658902022e-06
533.6704192000001,-1.5415915704081866e-06
613.5908898,-1.6308852579302214e-06
705.4811912,-1.7698665618959505e-06
811.1312575000001,-1.9032531621149546e-06
932.6036676000001,-1.8679677533360791e-06
1072.2675346,-2.010771181643646e-06
1232.8475066,-2.1966150536265263e-06
1417.4749683,-2.3392523026148504e-06
1629.7511502000002,-2.472915868365879e-06
1873.8181529,-2.501609497482754e-06
2154.4355312000002,-2.8331372393061653e-06
2477.077193,-2.7705430290704754e-06
2848.0369211,-3.046511485171443e-06
3274.549927,-3.018814931969823e-06
3764.9364195000003,-3.226816046513979e-06
4328.761910300001,-3.2730138972543e-06
4977.023753400001,-3.412382952964835e-06
5722.367857200001,-3.3615320812866636e-06
6579.332866000001,-3.6929490368972525e-06
7564.6337227,-3.593407624690622e-06
8697.4906166,-3.737872846190294e-06
10000.000825000001,-3.6084191565259097e-06
