v_bl,i_bl,v_sl,i_sl,v_wl,i_wl
-0.8002309409732795,-1.3755230374112864e-06,-0.0005381571514414335,1.3404297285367791e-06,0.39943018072547143,4.798721764302239e-10
-0.7998610637962481,-1.0682574761925038e-06,-0.0004484345356007565,1.1183952828154952e-06,0.29943351969671134,7.806599710849923e-10
-0.7996028822023795,-7.72901432850422e-07,-0.0004209684287106446,7.923519161148064e-07,0.19963827656385622,-4.726225066395187e-10
-0.7999269825010651,-6.139232174731095e-07,-0.00027082037771132165,6.38741381004876e-07,0.09928821868137536,-3.1148618807432453e-10
-0.7997438749876834,-4.484086155402379e-07,-0.00027448252529715836,4.538366325969616e-07,-5.841186515110189e-05,8.8092256930238e-10
-0.7996413347801894,-2.9613296603772717e-07,-0.0003935023218205327,3.0829279597888e-07,-0.10067946837121014,5.15680247222055e-10
-0.7993337141577077,-1.8401731867756584e-07,-0.0003458944032113162,2.137236285536572e-07,-0.2008464190755966,-3.0432457391752147e-10
-0.7994362543652018,-1.0131541081753089e-07,-0.00027997574667558043,1.2006983117005937e-07,-0.3007332157974993,1.196033592272057e-09
-0.799474706943012,-5.655778084369156e-08,-0.0005473125204050262,7.9164232435013e-08,-0.40091115293257223,2.4353890920231466e-10
-0.7997511992882187,-4.204478696607156e-08,-0.00034223225562614556,5.8167932105320494e-08,-0.5002651077662221,-2.1838520401504252e-10
-0.7993428695333767,-3.584075904889732e-08,-0.00015729380256703553,5.4392030683581e-08,-0.6009502517846145,2.865085941522515e-10
-0.7993904774868563,-4.514680092465867e-08,-0.0003001175583940189,6.417504800346106e-08,-0.7013936943279224,-6.731477030755967e-10
-0.7994490718911383,-7.871502340500793e-08,-0.0003678672887223399,9.443947000462215e-08,-0.8010479449336462,1.310619418806959e-09
-0.7991414512686568,-1.4330338547116792e-07,-0.00018475990945648134,1.5788605601463703e-07,-0.9012423617147465,1.03887433114043e-10
-0.7995186527462235,-2.1221240983683385e-07,-0.0003605429935526648,2.2991423616489136e-07,-1.000541384394969,4.941954047477379e-10
-0.7994014639376591,-3.396719476706678e-07,-0.000490549232831551,3.5755114634372835e-07,-1.101182582690618,-2.8602428817425655e-11
-0.7993373763079755,-5.172622467994627e-07,-0.00032392151769896016,5.635666163365749e-07,-1.2013348848207568,2.721853658360401e-10
-0.7990444042865642,-6.747448483038725e-07,-0.00032941473907738224,7.15804096384047e-07,-1.3015146530276103,9.919275887569263e-10
-0.7991780727713332,-1.0441060818006975e-06,-0.0003715294363088428,1.0189060014165748e-06,-1.4017749883928243,1.5759953930244104e-10
-0.7992183564242771,-1.2955353917649928e-06,-0.0003989955431982886,1.3124537316396595e-06,-1.501297401830321,6.338468808360096e-10
-0.7989693302060779,-1.7957905356926638e-06,-0.00033124581286996755,1.7431925468510243e-06,-1.601792114383495,-3.974255579768035e-10
-0.7989327087034014,-2.1235515462806373e-06,-0.00023053675427377865,2.1418934106055974e-06,-1.7014646757070284,7.376902861324501e-10
-0.8007399798604815,-2.6382088978731474e-06,-0.0005582989631605381,2.721437068208351e-06,-1.8015180999609968,1.02773565955006e-09
-0.7991670863205298,-3.5206210828767776e-06,-0.00027082037771132165,3.5544810167131896e-06,-1.9020805621700658,1.937260657668563e-09
-0.7984016969145935,-4.1074556521127025e-06,-0.00029279326322434376,4.047808258520565e-06,-2.0011891533850705,8.415336914301933e-10
