t,i_d
0.0105775,-1.0094299971922713e-06
0.0120625,-9.723720090084888e-07
0.013464700000000001,-9.355355932503298e-07
0.0155329,-8.911657150213365e-07
0.0175605,-9.222966408199489e-07
0.0205678,-8.850170802105631e-07
0.0235869,-8.136707591632007e-07
0.027535800000000003,-8.452448298130598e-07
0.0315236,-8.183237801010712e-07
0.0355462,-7.877467853664872e-07
0.040501800000000004,-7.557295698654213e-07
0.0464861,-7.870266749832362e-07
0.053468100000000005,-8.457987608770881e-07
0.0614948,-8.023705654569291e-07
0.07149380000000001,-8.020935999249249e-07
0.0813904,-7.219951680658495e-07
0.093367,-6.923598561401198e-07
0.1073275,-6.945201872898325e-07
0.12430150000000001,-6.738585586014189e-07
0.14188530000000002,-6.472144744214747e-07
0.1638487,-6.61339716554289e-07
0.18776630000000002,-6.182992728789759e-07
0.2156758,-6.612843234478882e-07
0.248589,-5.862266642714891e-07
0.2849916,-5.898826092941046e-07
0.32795030000000003,-5.652326769446707e-07
0.37739330000000004,-6.108765966209433e-07
0.4332688,-5.496672140453545e-07
0.49803470000000005,-5.144371983728998e-07
0.5725370000000001,-4.977084802391059e-07
0.6583217,-4.7078743052715756e-07
0.7566010000000001,-4.35169663109857e-07
0.8702484,-4.4480806362402324e-07
1.0005915,-4.25088117744464e-07
1.1501905000000001,-4.088579375683177e-07
1.3228945,-4.135109585061883e-07
1.5209786,-4.0880254446191684e-07
1.7475954,-3.713568045333287e-07
2.0102002000000003,-4.3345247681137105e-07
2.3107773000000003,-3.347973543071939e-07
2.6571301000000003,-3.550712312507816e-07
3.0549535000000003,-3.6880872163876994e-07
3.5119073000000003,-3.364591474992791e-07
4.0375196,-3.478147343119514e-07
4.6421931,-2.8954118637572703e-07
5.336961700000001,-3.1646223608771564e-07
6.136867100000001,-3.041095733598083e-07
7.055827000000001,-2.693780956449612e-07
8.1116557,-2.905936553974031e-07
9.3268616,-2.5996126755637804e-07
10.723163000000001,-2.5730239844905793e-07
12.3293712,-2.7380954415722845e-07
14.175214200000001,-2.392442457615838e-07
16.29766,-2.407952527408874e-07
18.738963000000002,-2.3852413537835295e-07
21.5447957,-2.2866416243858338e-07
24.771522,-2.3553290763258763e-07
28.481240300000003,-2.1819486532836446e-07
32.7455714,-2.1160308566636435e-07
37.649597400000005,-1.9670234004389828e-07
43.288122200000004,-1.9747784353357022e-07
49.770690800000004,-2.1376341681609717e-07
57.2239098,-1.646851245428526e-07
65.7936731,-1.6291254513794568e-07
75.6472988,-1.4734708223860932e-07
86.97602570000001,-1.4762404777063355e-07
100.0000988,-1.5332953773018022e-07
114.9761589,-1.0486056962734474e-07
132.19428920000001,-1.300090399344063e-07
151.9911568,-1.0048451422147826e-07
174.7538632,-1.0812876290511418e-07
200.9239574,-9.915507966779807e-08
231.01351570000003,-9.854575549736888e-08
265.6094526,-7.605615429764756e-08
305.3858831,-8.868578255761945e-08
351.1194484,-7.217863684940863e-08
403.7026172,-6.143237420718559e-08
464.15907400000003,-5.766564297176846e-08
533.6700654,-5.489598765162659e-08
613.5909777,-4.6254663052695264e-08
705.4810100000001,-5.118464952259013e-08
811.1314647,-4.03276006675453e-08
932.6038687,-3.7004014283375054e-08
1072.2673291,-3.4012786537609727e-08
1232.846906,-2.598078610912776e-08
1417.4746551,-3.705940738977587e-08
1629.7516712000001,-3.2517172664686766e-08
1873.8176950000002,-2.7365613769228922e-08
2154.4357635,-2.4872923981050857e-08
2477.0773613,-2.775336551401453e-08
2848.0368853,-2.7254827556386975e-08
3274.5495228,-2.3875848065795752e-08
3764.9366061,-2.991369666374736e-08
4328.762257400001,-3.3071103728735295e-08
4977.0244539000005,-3.057841394059753e-08
5722.368192,-3.268335198390939e-08
6579.332749800001,-3.201863470707937e-08
7564.6340281,-4.409433190298259e-08
8697.4902363,-3.733637292177998e-08
10000.001057500001,-5.024296671373584e-08
