t,i_d
0.0102132,-1.7199701458806345e-07
0.012542300000000001,-1.9470818821338805e-07
0.0140058,-1.928802157020803e-07
0.0154184,-2.0135536098176886e-07
0.0182014,-1.9415425714937983e-07
0.0202399,-1.8556832565686947e-07
0.023278700000000003,-1.6396501415958148e-07
0.0272696,-1.635772624147757e-07
0.031213800000000003,-1.4601764768494927e-07
0.0352466,-1.7138769041763424e-07
0.041185900000000004,-1.5427122053901436e-07
0.047216,-1.6058603466899025e-07
0.054153400000000004,-1.5715166207197805e-07
0.0621367,-1.434141716839897e-07
0.071152,-1.5875806215770264e-07
0.08172470000000001,-1.3593610231955626e-07
0.09374750000000001,-1.4662697185537845e-07
0.1077101,-1.2291872231479875e-07
0.12361860000000001,-1.5283099977255268e-07
0.1425712,-1.361576747451797e-07
0.1635547,-1.3654542648998547e-07
0.1875207,-1.2507905346451142e-07
0.2164203,-1.3106150895608238e-07
0.2483061,-1.1870884622815488e-07
0.28582080000000004,-1.1749019788727633e-07
0.3277375,-1.3709935755403398e-07
0.376595,-1.2424815686847895e-07
0.4329869,-1.1682548061042617e-07
0.49850340000000004,-1.1588379780159204e-07
0.5732900000000001,-1.1704705303604961e-07
0.6580820000000001,-1.0585764554259985e-07
0.7565467,-1.05137535159369e-07
0.8702442,-1.334434125314185e-07
1.0005767,-1.0951359056519518e-07
1.1499099000000002,-1.230295085276004e-07
1.3359993000000001,-1.1195088724693214e-07
1.5209739,-1.2524523278373404e-07
1.7478461,-1.1815491516410636e-07
2.0100793,-1.1156313550212638e-07
2.3111401000000003,-1.0546989379777394e-07
2.6569584,-1.1621615644001712e-07
3.0541672,-8.890735498320259e-08
3.5121885,-1.1422200460948677e-07
4.0370558,-1.0314338332883865e-07
4.6422112,-1.0956898367159601e-07
5.3376301,-9.090150681371281e-08
6.136116,-1.0962437677799684e-07
7.0552922,-9.633003124125537e-08
8.1123429,-1.0281102469039341e-07
9.327098900000001,-1.1881963244095653e-07
10.7228081,-1.3953665423575077e-07
12.3291236,-1.2546680520933734e-07
14.1754618,-1.3222476419053993e-07
16.298526300000002,-1.4873190989871045e-07
18.7383473,-1.54382006751816e-07
21.5445035,-1.5449279296461768e-07
24.771560400000002,-1.7244015943929018e-07
28.4811763,-1.6728860054379202e-07
32.7458937,-1.8922427067946482e-07
37.6497839,-1.8185698752783302e-07
43.288692600000005,-1.8645461535932293e-07
49.770552200000004,-2.1049522353828742e-07
57.223831700000005,-2.3592065937741355e-07
65.79344970000001,-2.472208530836448e-07
75.6468653,-2.271131554592999e-07
86.97581890000001,-2.546989224481185e-07
100.0001757,-2.5331409478801737e-07
114.97578100000001,-2.8815635871566616e-07
132.19469,-3.3828712001060695e-07
151.9919939,-3.3972734077708875e-07
174.7533277,-4.082486133978885e-07
200.924099,-4.1478499995346765e-07
231.0138608,-4.764375273802631e-07
265.60982590000003,-4.831400932550649e-07
305.38625490000004,-5.486147450236985e-07
351.1199596,-5.71713670393849e-07
403.70235610000003,-6.285469975635715e-07
464.15918800000003,-7.145724918077967e-07
533.6707964000001,-7.875252129408637e-07
613.5913747000001,-8.973697429385107e-07
705.4808792,-1.024164563495535e-06
811.131072,-9.940861067185583e-07
932.6038966000001,-1.0497007855474222e-06
1072.2679038,-1.1438690664329111e-06
1232.8469907,-1.348214235954472e-06
1417.4748406,-1.282241046228211e-06
1629.7519532000001,-1.698132489103742e-06
1873.8175695000002,-1.6365907478897481e-06
2154.4356077,-1.720622090303463e-06
2477.076832,-1.830798978939515e-06
2848.0361171,-1.8904019614293995e-06
3274.5496576,-2.1256010912175687e-06
3764.9364321000003,-2.3163749496703237e-06
4328.7615076,-2.501166352631528e-06
4977.024606100001,-2.478399785899802e-06
5722.3681065,-2.709499825814129e-06
6579.3330197000005,-2.736310089313296e-06
7564.6338745,-2.805496079210946e-06
8697.4904544,-3.2490840752880974e-06
10000.0009979,-2.9820893024244856e-06
