v_bl,i_bl,v_sl,i_sl,v_wl,i_wl
-0.800417710636929,-1.75985318249104e-07,-0.0006718255383054904,1.9450085767955326e-07,0.39936426214135723,-6.082969253020394e-11
-0.7995772471505058,-1.1616076333359615e-07,-0.0005363260776481821,1.3357153928401753e-07,0.2990764606994295,7.166016939996204e-11
-0.7994417475906034,-7.09045954021494e-08,-0.000680980907269083,8.248244883589836e-08,0.19962912120495124,3.68867156974375e-10
-0.7993447006085108,-4.725173896795037e-08,-0.0005985825865987472,6.200104415459651e-08,0.09922230009726117,-4.976881561928884e-10
-0.7993849842614548,-3.7225586708998485e-08,-0.0006370351362450372,5.359108189719556e-08,-0.00023785689968310294,1.5759953930244104e-10
-0.8001503736673913,-5.777642918459026e-08,-0.0006406972838302078,7.195569335725265e-08,-0.10063918479202995,1.2569073126198636e-09
-0.7995241459716254,-1.1366807354545838e-07,-0.0005729475535012206,1.2996726974511655e-07,-0.20091783087505338,-7.157211376736248e-11
-0.7992604711523551,-2.6555597130314324e-07,-0.0004484345356007565,2.804884309645574e-07,-0.3008760393964128,-7.805719154523928e-10
-0.7997713411146905,-4.2464497289323717e-07,-0.0004850560114544611,4.296937477491598e-07,-0.4010503143879234,7.341094790533974e-10
-0.7995021730700191,-6.312612597773326e-07,-0.0007102780879517802,6.468080794966833e-07,-0.5002010202538895,-7.157211376736248e-11
-0.7999251514259313,-1.0336921777968795e-06,-0.0003257525914922116,1.0535184311154438e-06,-0.6011370211062699,5.622307392510447e-10
-0.7994472408160046,-1.5557722056474217e-06,-0.0004978735280025584,1.5476466217092455e-06,-0.7014083429021699,4.583873339546041e-10
-0.7996907738088026,-2.0534238735741335e-06,-0.000713940235537617,2.0687782285309213e-06,-0.801049776005427,2.2205406672669492e-10
-0.7997365506871484,-3.006573055454697e-06,-0.0003458944032113162,2.9240199005451352e-06,-0.9013485638780412,1.4367256132511166e-11
-0.7999178271253964,-3.7895546144645184e-06,-0.0005399882252333527,3.7934498082044736e-06,-1.0007336469319676,3.6248348953526295e-12
-0.7999050095994595,-4.507670845876136e-06,-0.0006150622507333473,4.488272880424189e-06,-1.101676972071471,2.2205406672669492e-10
-0.8002327720484133,-6.092855371817669e-06,-0.0006443594314160445,6.030213715538671e-06,-1.2015491202191262,1.0456396949453243e-09
-0.800875479420384,-6.69913292140113e-06,-0.0006956294976097655,6.707072650691522e-06,-1.3013114040599265,6.807936232090921e-11
-0.8010402761824282,-8.117418017749711e-06,-0.0005912582914290721,8.107932078140805e-06,-1.4015534287073306,7.233670578162388e-10
-0.7988356617213088,-9.237245056797623e-06,-0.0006937984238171802,9.17937271186092e-06,-1.5012845843278542,7.520135144499642e-10
-0.7992751197534254,-1.0750252365095744e-05,-0.0008183114417189766,1.0689618859284223e-05,-1.6015778789851254,-8.951577419859919e-10
-0.797744340941552,-1.2346958657169152e-05,-0.0006736566120987418,1.2074402100377493e-05,-1.701691728607865,8.598339771617344e-11
-0.7976344764335229,-1.2983702415274395e-05,-0.0006187243983185179,1.2734956006663912e-05,-1.801695713923748,8.307912701930347e-10
-0.7970430391652993,-1.3972912509423486e-05,-0.0005235085610994188,1.3761543508344504e-05,-1.902221554697198,1.2139376276686242e-09
-0.7970521945409683,-1.5379675839640172e-05,-0.0004594209783569345,1.4910847806230172e-05,-2.0013411323428887,8.773417622220245e-10
