t,i_d
0.0106318,-2.3411620875003696e-05
0.012208100000000001,-2.357386728365878e-05
0.013612500000000001,-2.3396498556955594e-05
0.015578000000000002,-2.3093996802887506e-05
0.017644,-2.275305223297556e-05
0.0206702,-2.290316755132834e-05
0.0236675,-2.242302010502505e-05
0.0266582,-2.2725577252199562e-05
0.030663700000000002,-2.2147660973094555e-05
0.0352053,-2.1984140522992194e-05
0.0412095,-2.1868368930609395e-05
0.0471907,-2.1427993734703656e-05
0.05423360000000001,-2.107918334368244e-05
0.06216000000000001,-2.0684119708814527e-05
0.0708274,-2.0882316243525312e-05
0.08184870000000001,-2.0127972920525986e-05
0.0938553,-2.018896073067595e-05
0.1078168,-2.046581547647935e-05
0.12377400000000001,-1.9948665435098706e-05
0.1427229,-2.0135894134741646e-05
0.1632538,-1.920445905057115e-05
0.1882123,-1.9402766371494743e-05
0.2161576,-1.915881513089488e-05
0.2480507,-1.856976483740282e-05
0.2850529,-1.7967641770799585e-05
0.3281984,-1.7647358829576044e-05
0.3770642,-1.7279991747909773e-05
0.4339084,-1.7154470968800006e-05
0.4983366,-1.703221838296807e-05
0.5731839000000001,-1.7073541640344877e-05
0.6589285,-1.733012250920469e-05
0.7572326,-1.5992489775779234e-05
0.8699177,-1.555671220770494e-05
1.0002347,-1.5036903297216912e-05
1.1500757000000001,-1.481798974071131e-05
1.3227719,-1.4585726445562527e-05
1.5209137000000001,-1.2750885189061582e-05
1.7478220000000002,-1.297024189041841e-05
2.0096727000000003,-1.2447884897035844e-05
2.3111949000000003,-1.2224318319592372e-05
2.6562487000000004,-1.1327171568285478e-05
3.0549303,-1.0573105210818175e-05
3.5113773000000004,-1.0480875688656775e-05
4.0377562000000005,-9.559023611894047e-06
4.6424987,-8.494035748185347e-06
5.3376172,-7.66457937290322e-06
6.1362414,-6.758902083210217e-06
7.0549996,-6.782388760325214e-06
8.1122964,-6.087260668070925e-06
9.3261008,-6.568682155821491e-06
10.723638600000001,-6.337083577949556e-06
12.3287668,-5.963457075259686e-06
14.1751301,-5.257305754831171e-06
16.2977195,-4.468341740329819e-06
18.738483600000002,-4.047908062729219e-06
21.5453219,-3.271352104062195e-06
24.770907100000002,-2.5734543564877644e-06
28.481829100000002,-3.1225108271566763e-06
32.7458997,-2.319033818777684e-06
37.649440500000004,-2.295380962343485e-06
43.2877378,-2.0349779691418535e-06
49.770366,-1.808364770846215e-06
57.224597700000004,-1.5552182745833933e-06
65.7942761,-1.5463553775588587e-06
75.6472117,-1.5868477383396333e-06
86.9755093,-1.643182527551728e-06
100.00013910000001,-1.0313656673279238e-06
114.9759001,-7.912919441763011e-07
132.1942251,-1.0504762890370539e-06
151.9912605,-5.622414491988851e-07
174.7535751,-5.93593947423121e-07
200.92348130000002,-5.493348554069293e-07
231.0139202,-5.008658873040939e-07
265.6092156,-4.3251079400249654e-07
305.38596590000003,-4.0276469586396527e-07
351.1193519,-3.616076178063607e-07
403.70221410000005,-3.961175230955643e-07
464.15934050000004,-2.9186769684468247e-07
533.6705048,-3.7667454274804943e-07
613.5908859,-3.089841667232822e-07
705.4805513,-2.4965814976542205e-07
811.1316201000001,-2.2966123835381834e-07
932.6036879000001,-2.1221240983683385e-07
1072.2675733,-1.916061742548211e-07
1232.8475932000001,-1.773147528027842e-07
1417.4750102,-1.7249555254571117e-07
1629.7512363,-1.1699165992964878e-07
1873.8176738000002,-1.3527138504270607e-07
2154.4355002,-2.0506669911078517e-07
2477.0768779,-1.4795640640905865e-07
2848.0365676,-1.0652236281942987e-07
3274.5499187,-1.6318951066992965e-07
3764.9362536000003,-1.3399734359544688e-07
4328.761651700001,-1.6889500062947635e-07
4977.0240414,-1.5515751024146783e-07
5722.3680142,-1.1671469439762451e-07
6579.3327532,-2.0573141638763534e-07
7564.6344126,-2.2140766549973308e-07
8697.4905806,-2.3143381775872524e-07
10000.0005198,-2.2162923792535651e-07
