v_bl,i_bl,v_sl,i_sl,v_wl,i_wl
-0.8004854604168804,-1.5704087585917641e-07,-0.00043927916663716386,1.733329254670431e-07,0.3995693421808219,-9.305695624298222e-11
-0.799991070130749,-1.487873030051113e-07,-0.0003715294363088428,1.7636508872989203e-07,0.2994188711224638,7.448519002918585e-10
-0.7995296391970266,-1.0220170051998437e-07,-0.00020856386876075652,1.1177429016785633e-07,0.1996492629945407,1.2246800489070853e-09
-0.7992110321237421,-5.1517008160995056e-08,-0.0005619611107457088,6.5147628672685e-08,0.0993962519164506,-5.72488854511511e-11
-0.7999233203507976,-3.93305247522902e-08,-0.00043927916663716386,5.771024708446638e-08,-0.00014996545419795963,-2.2196601109409538e-10
-0.7997475371379509,-2.6368537853973817e-08,-0.0004685763473198611,4.872817855105501e-08,-0.10065932658162005,6.159428454407453e-10
-0.799432592214934,-3.500986245286484e-08,-0.0005546368155753675,5.6051138884034094e-08,-0.20086656086518737,1.1530639073208178e-09
-0.7999196582005301,-7.832727166016189e-08,-0.0002488474922002979,1.0027495401994504e-07,-0.30066546614160555,2.650237516779344e-10
-0.8000826238874397,-2.3913345954878216e-07,-0.0005784407748796427,2.540571210126932e-07,-0.40114736119231276,6.589125303906822e-10
-0.7996010511272454,-5.266790748880256e-07,-0.0006461905052079637,5.317575073901586e-07,-0.5003255331349937,5.69392353410453e-10
-0.7999105028248608,-1.0851523736454801e-06,-0.0004868870852463803,1.0826386405645843e-06,-0.6009996907226997,3.8319038529188904e-10
-0.799606544352647,-1.995261111850731e-06,-0.0006022447341839178,2.0062470125625313e-06,-0.7010073381821442,9.990892029163347e-10
-0.8006118046011138,-3.2211659496608333e-06,-0.0002323678280670301,3.1653343277680803e-06,-0.8010772420821413,7.269478648952917e-10
-0.8006795543810654,-4.586052091436705e-06,-0.0004649141997340243,4.631070606917417e-06,-0.9010537613213102,5.407458967767276e-10
-0.8006850476064666,-6.3366404330983296e-06,-0.0005363260776481821,6.262546074228184e-06,-1.0005450465385308,8.558569197477074e-10
-0.8000954414133772,-8.659051812160591e-06,-0.0005418192990266042,8.615676398103743e-06,-1.101092860173352,1.5362102647977095e-09
-0.8014577613129386,-1.0899979931703695e-05,-0.0003367390342477235,1.0692536601291894e-05,-1.2011407912119776,5.872963888070199e-10
-0.8012966267011624,-1.3739929103891452e-05,-0.000680980907269083,1.336289985521751e-05,-1.3011246347382703,7.88217835593704e-11
-0.7996980981093376,-1.6652609424786672e-05,-0.0006699944645129051,1.6311764444307077e-05,-1.4014600440465033,1.360750717916304e-09
-0.7977608206177562,-1.940852725456069e-05,-0.0006205554721117693,1.930765616928503e-05,-1.5012204968155218,8.594377268267603e-10
-0.8004048931109925,-2.1961207776941247e-05,-0.000518015339722329,2.1774521220832278e-05,-1.601541257549507,7.914023923208481e-10
-0.7957557933462239,-2.394062504115464e-05,-0.0005033667493803143,2.342567714403796e-05,-1.7013383317541437,1.6328920559347417e-09
-0.7955378954052992,-2.6899503212790154e-05,-0.00035321869838165744,2.619839021074259e-05,-1.8014595056640073,6.195236525197982e-10
-0.7969020463799953,-2.9464924149643443e-05,-0.0005949204390135766,2.870198448520999e-05,-1.9019212589251244,1.3643315249953569e-09
-0.7958803064553235,-3.112167656905796e-05,-0.0005582989631605381,3.069108358565749e-05,-2.0009566072688916,1.4466900878174805e-09
