t,i_d
0.010625800000000001,-3.3078561611819285e-06
0.012130700000000001,-3.3704503714175985e-06
0.013588300000000001,-3.3020952781159814e-06
0.0157083,-3.097971681020044e-06
0.0178449,-3.0785287006725088e-06
0.020874200000000002,-2.962424749651307e-06
0.023886300000000003,-2.921156885380901e-06
0.0268048,-2.7523186970638187e-06
0.030793300000000003,-2.6881180867424645e-06
0.0358284,-2.6457977534504025e-06
0.040807100000000006,-2.7107738672613886e-06
0.046750400000000004,-2.725896185309498e-06
0.0537588,-2.6912754938074726e-06
0.0617112,-2.535066933750302e-06
0.07071630000000001,-2.6515586365163297e-06
0.0817176,-2.4339191214579872e-06
0.09369870000000001,-2.363680662538681e-06
0.10764900000000001,-2.370438621519884e-06
0.12361910000000001,-2.3555378758973975e-06
0.14186700000000002,-2.2478536770495037e-06
0.1639535,-2.231069565809329e-06
0.18754610000000002,-2.1167935872994345e-06
0.2155236,-2.0774644817531383e-06
0.2484038,-2.105659572912386e-06
0.2853395,-1.919372556078279e-06
0.32824180000000003,-1.9063551760735215e-06
0.37709800000000004,-1.8020499567162189e-06
0.4331241,-1.8325715583444222e-06
0.4985682,-1.8646995600583098e-06
0.572303,-1.8265891028528712e-06
0.6587143000000001,-1.6502728451713357e-06
0.7565065000000001,-1.5576555712651302e-06
0.8699035,-1.6020254494941234e-06
1.0005007000000001,-1.5361076528742632e-06
1.1507822,-1.4398898270518232e-06
1.3222801000000002,-1.4607176350594591e-06
1.520834,-1.3987881421006396e-06
1.7481424,-1.332537986842354e-06
2.0099117,-1.4856999260473184e-06
2.3104399,-1.2688359144786277e-06
2.6565608000000003,-1.2289528778683022e-06
3.0543226000000003,-1.2600284105605138e-06
3.5120571000000003,-1.1718425851665556e-06
4.0379232,-1.1955508347071355e-06
4.6417411,-1.131073258853777e-06
5.3375671,-1.1389944730694372e-06
6.1367343000000005,-1.1324026934074572e-06
7.0551919000000005,-1.0617764827433256e-06
8.111450300000001,-9.832290578635336e-07
9.326962700000001,-9.164803646476207e-07
10.723044100000001,-9.560864357259418e-07
12.328709700000001,-8.422536020672743e-07
14.1750775,-8.020935999249249e-07
16.2985574,-7.756710881705841e-07
18.7388185,-7.695778464662316e-07
21.544506100000003,-6.770713587728278e-07
24.771007200000003,-7.015551118030393e-07
28.481120100000002,-7.337385066233277e-07
32.745853100000005,-7.820412954069405e-07
37.650052900000006,-6.965143391203428e-07
43.2882216,-6.761850690703543e-07
49.7703392,-5.913228300606067e-07
57.224748000000005,-5.859496987394851e-07
65.793615,-5.766990499701446e-07
75.64647930000001,-5.347664684228883e-07
86.97524960000001,-4.917260247475752e-07
100.0007712,-4.907289488323e-07
114.97656780000001,-4.24035648722808e-07
132.1942291,-4.520645605628333e-07
151.9914253,-4.694026028670564e-07
174.7531628,-4.48353222433817e-07
200.9238486,-3.671469284466848e-07
231.0139152,-3.5795167278374527e-07
265.60950690000004,-3.6792243193631647e-07
305.38612340000003,-3.1491122910843215e-07
351.119797,-3.291472574540682e-07
403.7018638,-2.912583726742533e-07
464.1594392,-2.867161379491843e-07
533.6705263,-3.270423194107362e-07
613.5909016,-2.8261704807532194e-07
705.4810841000001,-2.278886589489517e-07
811.1315581,-2.2057676890370057e-07
932.6039958,-2.1104915460235613e-07
1072.2682246000002,-2.1110454770875694e-07
1232.846912,-2.0141075408818983e-07
1417.4748718,-1.9847491944882532e-07
1629.7515544,-1.8490360837999916e-07
1873.8184658,-1.9642537451189414e-07
2154.4349002000004,-2.036818714507243e-07
2477.0771794,-2.124893753688178e-07
2848.0369111,-1.8662079467854556e-07
3274.5499052,-1.8556832565686947e-07
3764.9364429,-1.6845185577824962e-07
4328.7619973,-2.2118609307414993e-07
4977.024251000001,-1.8695315331693034e-07
5722.3683311,-2.427894045713976e-07
6579.3329026,-3.0178306289085286e-07
7564.634304200001,-2.928647727599376e-07
8697.491039800001,-2.948589245904478e-07
10000.000294200001,-3.150220153212338e-07
