t,i_d
0.0108696,-6.503718814864627e-07
0.0125097,-7.217182025338252e-07
0.0140832,-7.203887679801451e-07
0.0154727,-7.42989155392668e-07
0.017762700000000003,-7.626537081658265e-07
0.0208003,-7.519074455235833e-07
0.023806800000000003,-7.721259293607701e-07
0.026792700000000003,-7.515196937787775e-07
0.0307668,-7.403856793917286e-07
0.0357528,-7.800471435764303e-07
0.0407403,-7.700209913174381e-07
0.0467252,-7.6486943242194e-07
0.054368900000000005,-7.598840528456443e-07
0.0623575,-7.11027332998003e-07
0.0713227,-7.314673892607932e-07
0.08129270000000001,-7.507995833955265e-07
0.09425850000000001,-7.545663146309437e-07
0.10818290000000001,-7.822074747261632e-07
0.1241952,-7.36785127475514e-07
0.1421481,-7.367297343691131e-07
0.1630937,-7.300271684943114e-07
0.1875522,-7.446509485847733e-07
0.21551930000000002,-7.08922394954671e-07
0.24802780000000002,-6.946309735026341e-07
0.2851247,-6.760188897511518e-07
0.3279493,-7.259834717268699e-07
0.3768305,-6.368559635240575e-07
0.43333400000000005,-6.703133997916051e-07
0.49816380000000005,-6.371883221624825e-07
0.5727285000000001,-6.484331227623332e-07
0.6583153,-6.182992728789759e-07
0.7570818,-6.231184731360692e-07
0.8704341000000001,-6.555234403819406e-07
1.000436,-6.038970652141374e-07
1.1505473000000002,-6.04007851426939e-07
1.3239371,-6.181330935597735e-07
1.5208513000000001,-5.614105526028326e-07
1.7478142,-5.477838484276458e-07
2.0098118,-5.273437921648557e-07
2.310988,-5.247403161639164e-07
2.6568406,-5.552619177920793e-07
3.054358,-3.843741845380862e-07
3.5121640000000003,-5.186470744595437e-07
4.037962,-5.163759570970092e-07
4.641820500000001,-5.338247856140341e-07
5.3375010000000005,-4.792625758068462e-07
6.1364242,-5.392533100415363e-07
7.0551145,-5.384224134455039e-07
8.1114637,-4.5909948507606013e-07
9.3270047,-5.103935016054585e-07
10.723163900000001,-5.883316023148212e-07
12.3285648,-5.392533100415363e-07
14.175042600000001,-5.753142223100637e-07
16.297916700000002,-6.315382253093367e-07
18.7383546,-5.162651708842076e-07
21.5454541,-5.853403745690559e-07
24.771725,-6.740801310270424e-07
28.481066400000003,-6.504272745928434e-07
32.7458856,-7.587207976111867e-07
37.6498074,-7.673067291036769e-07
43.288062200000006,-7.895747578777949e-07
49.7706436,-8.556587338168578e-07
57.224491,-8.443585401105862e-07
65.7940773,-8.908333563829115e-07
75.6467234,-8.046416828194634e-07
86.9751233,-7.029399394631203e-07
100.0002755,-9.309933585252608e-07
114.97620250000001,-1.0322519570303976e-06
132.1946978,-1.0818287872612896e-06
151.9912906,-1.0120334731932107e-06
174.753601,-1.23670791276476e-06
200.92422100000002,-1.2848445222291704e-06
231.01322190000002,-1.3196867861567991e-06
265.6090249,-1.4837611673232089e-06
305.38631130000005,-1.7143626692798883e-06
351.1197837,-1.7282109458806983e-06
403.7022951,-1.8114113916983808e-06
464.1594402,-2.0272783273518167e-06
533.6706838,-2.1274290637288767e-06
613.5908982000001,-2.2417050422387302e-06
705.4804477,-2.6300661112318634e-06
811.1314421000001,-2.4581259089562144e-06
932.6035865,-2.880110593536098e-06
1072.2679189,-2.6546052573685164e-06
1232.846921,-2.89933200145803e-06
1417.4745358,-3.0705520933504477e-06
1629.7510544000002,-3.2325769295799264e-06
1873.8179134000002,-3.629856288703955e-06
2154.4351197,-4.108508121134358e-06
2477.0768853,-4.158971241067705e-06
2848.0366073,-4.253915025442864e-06
3274.5495905000002,-4.489335727656638e-06
3764.9366534,-4.6458212532457916e-06
4328.7620560000005,-4.7042609805012185e-06
4977.0244723000005,-5.00349454129152e-06
5722.3683345,-5.114502326523624e-06
6579.3327226,-5.020167866318893e-06
7564.634006,-5.620241387985219e-06
8697.4903593,-5.590273717421044e-06
10000.0002637,-5.609772090874999e-06
