t,i_d
0.0106701,-6.858443495416848e-06
0.0121759,-6.8256507764261295e-06
0.013580700000000001,-6.8060970098657935e-06
0.0156354,-6.687334189737231e-06
0.017688000000000002,-6.779231353260225e-06
0.0207313,-6.431861183005494e-06
0.0237173,-6.668555926666547e-06
0.0267119,-6.414855499339716e-06
0.0307041,-6.469306922934082e-06
0.035676700000000006,-6.336141895140703e-06
0.040897100000000006,-6.303626141681988e-06
0.046537300000000004,-6.336086502034301e-06
0.053545600000000006,-6.426377265471571e-06
0.06150750000000001,-6.074132501853366e-06
0.0714799,-5.818659495121609e-06
0.0814556,-6.013587836554628e-06
0.09343670000000001,-5.931661432184224e-06
0.10738210000000001,-5.660955321191596e-06
0.1238632,-5.823700267804326e-06
0.14180040000000002,-5.6632818316605115e-06
0.1637956,-5.768528733826689e-06
0.18770420000000002,-5.623564974369409e-06
0.2156053,-5.373520492065175e-06
0.2481385,-5.372855774788324e-06
0.28504480000000004,-5.123365223548138e-06
0.3279729,-5.2012479311511e-06
0.3772548,-5.115167043800454e-06
0.4331006,-4.98970165779713e-06
0.49858,-4.641888342691172e-06
0.572337,-4.53824784061072e-06
0.6589387,-4.915364109003962e-06
0.7566536,-5.023823811341528e-06
0.8700096,-4.949874014293185e-06
1.0002719,-4.880189486437908e-06
1.1504766000000002,-4.870107941072515e-06
1.3226894,-4.804356323771878e-06
1.5204184,-4.869554010008487e-06
1.7485106000000001,-4.917635226366517e-06
2.0094702,-4.7105204015247935e-06
2.3111026000000003,-4.468120167904216e-06
2.6564263,-4.414665820225084e-06
3.0543017000000003,-4.24892964586659e-06
3.5122202000000002,-4.088788175254799e-06
4.037966,-3.728289838782529e-06
4.6417994,-4.030680806637817e-06
5.3372361,-4.116872480201265e-06
6.1363257,-4.002873467223375e-06
7.0549013,-3.69738048540952e-06
8.1116787,-3.595844921372379e-06
9.327021400000001,-3.571194989022945e-06
10.723053400000001,-3.6308533646192303e-06
12.328655600000001,-3.501288888742044e-06
14.175317900000001,-3.236620626347348e-06
16.2984617,-3.1091056954070925e-06
18.738803100000002,-3.116916123409951e-06
21.5452608,-3.077365445438031e-06
24.771337000000003,-3.1086625505558665e-06
28.4810304,-2.9706783225053925e-06
32.7457924,-2.8844312558355436e-06
37.650213900000004,-2.662249506052152e-06
43.288333800000004,-2.6408677669805077e-06
49.770431200000004,-2.301972742005485e-06
57.2244619,-2.1324698364115527e-06
65.79377360000001,-2.122609863471783e-06
75.6470781,-1.986896752783844e-06
86.9752831,-1.9161597559069103e-06
100.0000421,-1.838830979367977e-06
114.9763384,-1.6773600742025267e-06
132.1943464,-1.5677371166305233e-06
151.991735,-1.293984384785689e-06
174.7535603,-1.2716055697987896e-06
200.9238975,-1.192891965599795e-06
231.01322860000002,-1.1869095101082445e-06
265.60933090000003,-1.003558327913522e-06
305.3861698,-9.206902407342646e-07
351.12010630000003,-9.302178550356293e-07
403.7025974,-8.079098760972732e-07
464.15952230000005,-7.261496510460724e-07
533.6708498,-6.25223411179381e-07
613.591054,-5.134955155640456e-07
705.4805031000001,-4.229277865947311e-07
811.1312800000001,-4.887901901081906e-07
932.6041435000001,-5.107812533502844e-07
1072.2673677,-3.8454036385730875e-07
1232.8471014000002,-3.819368878563492e-07
1417.4751148,-3.277070366875662e-07
1629.7517598000002,-3.7789319108890785e-07
1873.8180470000002,-2.978501523362333e-07
2154.434963,-2.626201366637787e-07
2477.0769211,-3.011737387204237e-07
2848.0366393000004,-3.109229254473916e-07
3274.5495050000004,-2.5613914321458026e-07
3764.9363931000003,-2.6538979198392057e-07
4328.7621289,-2.760806615197428e-07
4977.0242665000005,-2.635064263662322e-07
5722.3685744,-2.714276405818722e-07
6579.333324,-3.082086632336304e-07
7564.634253300001,-3.104797805961649e-07
8697.4903515,-2.915907313126582e-07
10000.0003278,-3.0710080110557364e-07
