t,i_d
0.011018100000000001,-6.864881868613707e-07
0.0126542,-7.257618993012465e-07
0.0142602,-7.310796375159673e-07
0.0156448,-7.458142038192309e-07
0.017772100000000002,-7.671959428908753e-07
0.0208025,-7.437092657759189e-07
0.0238044,-7.452602727552026e-07
0.026767600000000003,-7.115258709556305e-07
0.030759900000000003,-7.379483827099715e-07
0.0357671,-7.68359198125353e-07
0.0407129,-7.596070873136402e-07
0.046666000000000006,-7.159019263614769e-07
0.0536495,-6.869313317125772e-07
0.061626700000000006,-7.001148910365574e-07
0.0706184,-6.872636903510024e-07
0.0817708,-6.887039111174842e-07
0.09374070000000001,-7.229368508747038e-07
0.1077193,-7.48583859139393e-07
0.12366210000000001,-6.806719106890224e-07
0.1426088,-6.564097300843941e-07
0.16355460000000002,-6.780684346880829e-07
0.1874937,-6.487100882943574e-07
0.216485,-6.948525459282576e-07
0.2483264,-6.597887095750055e-07
0.2848549,-6.353603496511748e-07
0.32778650000000004,-6.888700904367069e-07
0.37661720000000004,-6.803949451569982e-07
0.4335141,-6.019583064900079e-07
0.49788220000000005,-5.940924853807485e-07
0.5725741000000001,-5.999087615530968e-07
0.6585397000000001,-5.969729269137323e-07
0.7568313000000001,-5.677807598392293e-07
0.8705782000000001,-5.743725395011893e-07
1.000191,-5.490578898749252e-07
1.1504808,-5.476730622148443e-07
1.3226652,-5.573114627290105e-07
1.5204453,-5.108920395631061e-07
1.7483806000000002,-5.360959029765685e-07
2.0102241000000003,-5.297810888465927e-07
2.3103712,-5.330492821244023e-07
2.6562651,-5.535447314935732e-07
3.0544317000000003,-4.923907420244053e-07
3.5121519,-5.884977816340437e-07
4.0372358,-5.571452834097878e-07
4.6422398000000005,-6.078853688751578e-07
5.3375816,-5.742617532883875e-07
6.1363019,-5.772529810341529e-07
7.0555051,-5.851188021434325e-07
8.1119555,-5.587516834954923e-07
9.326247,-5.890517126980722e-07
10.7235575,-6.240047628385025e-07
12.3292525,-6.178561280277493e-07
14.1748442,-6.35637315183179e-07
16.297574400000002,-6.199610660710812e-07
18.738741400000002,-6.201272453902837e-07
21.5445809,-6.369113566304785e-07
24.7708559,-6.425060603771831e-07
28.480636800000003,-7.157357470422543e-07
32.745758,-6.92636821672124e-07
37.649612000000005,-7.363973757306881e-07
43.2880781,-7.501348661186764e-07
49.7710737,-8.154433385681075e-07
57.224584400000005,-8.698393690560929e-07
65.7939301,-9.703778571779787e-07
75.6469673,-1.0040014727647489e-06
86.9756457,-9.914826307175987e-07
100.0002628,-1.0804993527076097e-06
114.97650750000001,-1.1246476585109996e-06
132.1946588,-1.1465279355402715e-06
151.9921002,-1.0933505533931646e-06
174.7531815,-1.3155323031765762e-06
200.9243295,-1.3458323323791358e-06
231.01357080000002,-1.6360922099321207e-06
265.6093297,-1.751254478144468e-06
305.386395,-1.985068780272536e-06
351.12021330000005,-2.0251733893084848e-06
403.70237890000004,-2.0217390167114926e-06
464.15942980000005,-2.345179365000001e-06
533.6702828,-2.350607889427523e-06
613.5917335,-2.3499431721506927e-06
705.4807424,-2.3831790359926173e-06
811.1315356,-2.403508306042606e-06
932.6040956,-2.597661143985972e-06
1072.2677035000002,-2.5739528944453922e-06
1232.8469333,-2.8142481900226384e-06
1417.4745234000002,-3.317716134121698e-06
1629.7510623,-3.456752831193828e-06
1873.8184432,-3.726074114526395e-06
2154.4354155,-3.4758634529029583e-06
2477.0767619000003,-3.7834059796537454e-06
2848.0362489000004,-3.858685211255747e-06
3274.5494152,-3.65982395926813e-06
3764.9367692,-3.850376245295262e-06
4328.7615438,-4.529329550479784e-06
4977.0244561,-4.121580894245537e-06
5722.3679583,-4.6143025757023535e-06
6579.3331225,-4.537361550908266e-06
7564.6339733,-4.6950103317318986e-06
8697.490262700001,-4.4880616862093785e-06
10000.0006085,-4.600620478420766e-06
