v_bl,i_bl,v_sl,i_sl,v_wl,i_wl
-0.801119012413182,-4.719634586154955e-08,-0.0005509746679901969,7.315711653687243e-08,0.39958399075506945,-1.145417987172993e-10
-0.7993666735101167,-3.7280979815379165e-08,-0.0004099819859544666,6.028472532654446e-08,0.2994518304145212,8.952457976185914e-10
-0.7993941396371241,-2.836268968446388e-08,-0.0003147661487353675,5.090218239991956e-08,0.19967306692769315,8.8092256930238e-10
-0.7994802001684133,-2.3100344576143935e-08,-0.0007560549327684115,4.8041651019846676e-08,0.09960499409947632,6.09177481628035e-11
-0.8000460023847639,-3.0079875982969975e-08,-0.0007121091617443656,5.1874763069143505e-08,0.00010821566691423249,-2.1838520401504252e-10
-0.7997988072416979,-5.622542220528663e-08,-0.0006022447341839178,7.653254356537756e-08,-0.10062270514600156,4.22579263162773e-10
-0.7995497810234987,-9.46682380491501e-08,-0.0006187243983185179,1.1703766790721042e-07,-0.2008775472958725,2.055427291282518e-09
-0.7993080791058343,-1.477902270898562e-07,-0.0005253396348926702,1.7544971868826706e-07,-0.30031023821610325,7.01882215340619e-10
-0.7995241459716254,-2.6444810917506634e-07,-0.00037885373147918404,2.9736556610697913e-07,-0.40103566581367583,3.6170554281757194e-10
-0.7997713411146905,-4.3151371808724145e-07,-0.0005418192990266042,4.640773349376125e-07,-0.5002760941969079,1.0241548524697046e-09
-0.8001082589393137,-6.154188313459921e-07,-0.0007084470141591949,6.711798068549225e-07,-0.600836725334196,-6.799130668830962e-11
-0.7995735850002383,-9.376405312936619e-07,-0.0007029537927807729,9.511686183364712e-07,-0.7009304331673448,1.0348972737081657e-09
-0.7996852805834014,-1.283570480781891e-06,-0.0006883052024400904,1.3043298225202325e-06,-0.800581021629507,-5.084305774313497e-10
-0.799597388976978,-1.5781510206343413e-06,-0.0005491435941969454,1.6037130367586822e-06,-0.9013247599448884,1.589922370984805e-09
-0.8002529138748854,-2.1559011204201286e-06,-0.0006352040624517857,2.1938978710953e-06,-1.0006915322810055,1.3249426471231703e-09
-0.799725564236345,-2.7986273340169415e-06,-0.000474069568697617,2.830423313789115e-06,-1.101153285542123,2.2205406672669492e-10
-0.7997420439125493,-3.5424459667996485e-06,-0.0004063198383686298,3.4311349036044204e-06,-1.201417283050899,1.0814477657371553e-09
-0.7996889427336689,-4.010185357268606e-06,-0.0005033667493803143,4.11731917105634e-06,-1.3011649183174512,-4.224912075301734e-10
-0.7995094973705544,-4.662716150698788e-06,-0.000713940235537617,4.80510533608107e-06,-1.401709069808711,9.919275887569263e-10
-0.8000221984080242,-5.431683253788597e-06,-0.0006297108410733636,5.426412751832918e-06,-1.5010428828527707,5.407458967767276e-10
-0.7990718704135716,-6.2744339746074855e-06,-0.0006333729886592004,6.215862202105413e-06,-1.6016273179232108,1.228260855986138e-09
-0.7987862226926958,-6.911122339606326e-06,-0.0006608390955493124,6.88808707642254e-06,-1.7015251010757997,6.983014082615661e-10
-0.7986195948555183,-7.841560347861565e-06,-0.0005381571514414335,8.0099874836871e-06,-1.80154373496593,1.1673871356383318e-09
-0.7982826770308954,-7.971457182377156e-06,-0.0005143531921371583,7.895737860367002e-06,-1.9018516781974488,9.776043604394122e-10
-0.7983119742330366,-8.660658212246294e-06,-0.000463083125941439,8.728724598244242e-06,-2.0012788759023366,1.2318416630638883e-09
