v_bl,i_bl,v_sl,i_sl,v_wl,i_wl
-0.800457994289873,-3.7557945347383276e-08,-0.0006077379555623399,5.9426565912518425e-08,0.3995199032427368,-1.9331955446167258e-10
-0.7994710447927446,-3.312649683515627e-08,-0.0006846430548549197,5.198918432434142e-08,0.2994261954095879,1.0134124312312434e-09
-0.800000225506418,-2.6977862024382863e-08,-0.00041547520733288865,4.638254281939358e-08,0.1997536340860542,-1.5034986951043312e-10
-0.799298923730165,-2.6091572321929402e-08,-0.0005766097010863913,4.987239110309665e-08,0.09930286725562289,6.09177481628035e-11
-0.799456396191674,-3.8721200581861e-08,-0.00046674527352660964,6.09712528577736e-08,-5.841186515110189e-05,1.9340761009427218e-10
-0.7993080791058343,-6.874426425243673e-08,-0.0006828119810616683,9.054914732770556e-08,-0.10083694054437052,1.1104904727084602e-10
-0.7998317665941069,-1.406999094702285e-07,-0.0006114001031475105,1.662960182720588e-07,-0.201003891248757,7.341094790533974e-10
-0.7993080791058343,-2.571916122362563e-07,-0.0004557588307717639,2.8249080293060427e-07,-0.3005556018347488,1.0786449053458322e-11
-0.800024029483158,-3.9102135730648714e-07,-0.0004557588307717639,4.0778207737777985e-07,-0.4010942601106659,9.417962896488838e-10
-0.7999434621772697,-5.195333641619972e-07,-0.0004374480928439124,5.468611130769501e-07,-0.5001039734495,5.729731604895058e-10
-0.799249484701552,-7.98936192859937e-07,-0.0004997046017944775,8.009335102550251e-07,-0.6006682667303498,-2.434508535697151e-10
-0.7992824440539607,-1.141487162857595e-06,-0.0005875961438432354,1.1378468962000158e-06,-0.7011263578479052,1.8763869373207566e-09
-0.8000716374366372,-1.6956951924220048e-06,-0.0005308328562704262,1.7227683527973005e-06,-0.8009545602728184,5.801347746489143e-10
-0.7993776599609195,-2.047386024976182e-06,-0.0005070288969654849,2.0208357226009114e-06,-0.901051930249529,2.36377295044209e-10
-0.7995699228499705,-2.588188922791028e-06,-0.000474069568697617,2.5936857367742954e-06,-1.0002941897045425,1.0786449053458322e-11
-0.7994582272668077,-3.0005352068567454e-06,-0.0006168933245259326,3.066645995155545e-06,-1.1013968180889877,1.2103568205882686e-09
-0.7996504901558588,-3.891422537140064e-06,-0.0005619611107457088,3.715929407804511e-06,-1.2014410869840515,-6.731477030755967e-10
-0.8003902445099219,-4.031899454978697e-06,-0.0005949204390135766,4.048037101030961e-06,-1.3010989997333369,6.983014082615661e-10
-0.799216525349143,-4.7427591894514624e-06,-0.0005308328562704262,4.648577058963489e-06,-1.401379476888142,4.870337905883296e-10
-0.7989601748304085,-5.552717191279674e-06,-0.00044660346180750506,5.493349186126573e-06,-1.5009293564023525,-1.6825390490700002e-10
-0.798630581306321,-6.1111350969307275e-06,-0.0005473125204050262,6.184453567552231e-06,-1.6016804190048581,3.6528634989662477e-10
-0.7987221350630123,-6.707885032212843e-06,-0.0006352040624517857,6.466444750999785e-06,-1.7015324253629232,-2.9000134559870477e-10
-0.7985848044279755,-7.0087249930888485e-06,-0.0006297108410733636,7.094789073946596e-06,-1.8012489324091994,7.73498356925584e-10
-0.7981178802688519,-8.07775655356499e-06,-0.0005290017824771747,7.848367460713003e-06,-1.9018773132023818,-4.833649278766772e-10
-0.7985902976533771,-7.874962391022732e-06,-0.00047040742111178026,7.7113480076075e-06,-2.001399726639878,1.2103568205882686e-09
