v_bl,i_bl,v_sl,i_sl,v_wl,i_wl
-0.8003902445099219,-4.243253871087731e-08,-0.0008000007037924573,6.27447823134038e-08,0.39935693785423315,3.585209860813091e-11
-0.7993447006085108,-3.877659368826182e-08,-0.0002873000418459217,5.3991556290388274e-08,0.2992064667958757,1.0098316241521905e-09
-0.7994655515673427,-3.1076951898225086e-08,-0.0005253396348926702,4.884259980627374e-08,0.1996639115687882,-1.077778903025503e-09
-0.8002620692505541,-3.1076951898225086e-08,-0.0007157713093295362,4.626812156419565e-08,0.09917103008739583,-5.800467190163146e-10
-0.7994838623186807,-3.5508400410472244e-08,-0.0006937984238171802,5.0215654868669597e-08,9.337790743279744e-06,4.691297551930654e-10
-0.8001375561414545,-5.9216649951051946e-08,-0.0007340820472560555,7.64753329377578e-08,-0.10068496158655338,3.943290568718376e-11
-0.8000881171128416,-1.1616076333359615e-07,-0.0005528057417821161,1.2996726974511655e-07,-0.20078050049148308,2.9008940123130435e-10
-0.7996779562828658,-2.1586835485942917e-07,-0.0005949204390135766,2.1881537441019357e-07,-0.3006270136342056,9.81185167518465e-10
-0.8000826238874397,-3.5424033465472896e-07,-0.00046674527352660964,3.9479526491227485e-07,-0.4009605918706567,4.906145976686852e-10
-0.7994435786657371,-5.63737063071788e-07,-0.0007084470141591949,6.172301850267306e-07,-0.4999904469990815,5.264226684605162e-10
-0.7999526175529388,-8.371020431717762e-07,-0.0005143531921371583,8.462443273153788e-07,-0.6009703935742039,6.016196171232314e-10
-0.799749368213085,-1.3786804444762543e-06,-0.0004795627900760391,1.3517002221742528e-06,-0.7011629792835243,2.5109677370972377e-11
-0.7999214892756639,-1.8524576835431838e-06,-0.0007267577520857142,1.899148717692616e-06,-0.8008556823966478,4.0825603484656163e-10
-0.8003353122559074,-2.2660226159497594e-06,-0.0007615481541461674,2.2219882892476384e-06,-0.9011599634846043,8.240259063712058e-11
-0.8001247386155184,-2.8309215150500115e-06,-0.000580271848672228,2.823043142828558e-06,-1.0006182894097684,-2.61354888966282e-10
-0.8006392707281211,-3.427726843438548e-06,-0.0006260486934895253,3.441776080338327e-06,-1.1013400548637788,8.093064277187179e-10
-0.7998445841200434,-3.899399144462125e-06,-0.00042463057629648135,3.886073814291249e-06,-1.2013165741029475,-5.120113845104026e-10
-0.8000789617371725,-4.447458539215802e-06,-0.0007066159403666096,4.4407880595149705e-06,-1.3011356211689566,6.445893020744709e-10
-0.799482031243547,-5.094006877154433e-06,-0.0005875961438432354,4.9405228916137e-06,-1.4015607529944545,1.6149880205394776e-09
-0.8003902445099219,-5.6948559023103705e-06,-0.0007047848665733582,5.706001088921211e-06,-1.5009714710533142,2.8292778707319863e-10
-0.7987532633402872,-6.524921601762926e-06,-0.0005473125204050262,6.598429668876372e-06,-1.601881836900761,4.61968141033657e-10
-0.7987422768894837,-6.892510255854844e-06,-0.0005711164797093015,6.9264754075431285e-06,-1.7016221478801892,1.049220502024377e-09
-0.7986745271095328,-7.878396763619724e-06,-0.0007395752686344775,7.757917458475093e-06,-1.8015913428322343,-1.8615794030226424e-10
-0.7984786020702143,-8.522452411770218e-06,-0.0004649141997340243,8.405255709785589e-06,-1.9019816842938955,8.880841834604857e-10
-0.7985133924977563,-8.947760682734271e-06,-0.0005949204390135766,8.93147906246378e-06,-2.0013118351943935,8.845033763814328e-10
