t,i_d
0.0045000000000000005,-4.547915956304345e-08
0.0105,-4.027220756114448e-08
0.023,-3.816726951783262e-08
0.049,-4.248793181727813e-08
0.10600000000000001,-3.7613338453804244e-08
0.2275,-3.517604177204715e-08
0.488,-3.572997283609568e-08
1.048,-3.733637292177998e-08
2.249,-3.622851079372324e-08
4.8265,-3.168627606865428e-08
10.3585,-2.841808279084455e-08
22.2295,-2.426359981064181e-08
47.705,-3.140931053663002e-08
102.32,-2.7254827556386975e-08
219.69,-2.4706744661828236e-08
471.385,-2.4208206704220837e-08
1011.665,-2.498371019387265e-08
2170.6679999999997,-2.365427564019246e-08
4660.464,-2.6811682705160246e-08
9998.742,-3.2129420919881014e-08
