v_bl,i_bl,v_sl,i_sl,v_wl,i_wl
-0.8001100900144478,-1.4658789952908414e-05,-0.0005399882252333527,1.478835985253545e-05,0.3994411671561566,2.1489245256858923e-10
-0.7995992200521117,-1.321663042770003e-05,-0.0006114001031475105,1.3066091119221158e-05,0.29919731143697076,9.74023553361662e-10
-0.7996559833812603,-1.2272787287695206e-05,-0.0002506785659928832,1.2462404576770603e-05,0.19957602012330306,4.1541764900466735e-10
-0.7998061315422332,-1.2332445663291513e-05,-0.0005308328562704262,1.2643647845011976e-05,0.09938526548576479,-4.3681443584768753e-10
-0.799482031243547,-1.2180945517278634e-05,-0.0006846430548549197,1.2055980278289796e-05,4.412815458089917e-05,2.721853658360401e-10
-0.7995497810234987,-1.1411369090018415e-05,-0.0005674543321241308,1.1391135574933289e-05,-0.10080764339587547,4.906145976686852e-10
-0.8001027657139118,-1.1675981959306691e-05,-0.0006059068817690884,1.171162951075665e-05,-0.20090684444436757,7.197862507371859e-10
-0.7998555705708462,-1.103347731813552e-05,-0.0005619611107457088,1.1358182253434851e-05,-0.3003944675180267,-8.020567579267098e-10
-0.7996211929537176,-1.0671926512641554e-05,-0.0005875961438432354,1.054653507965296e-05,-0.40116567191012203,1.8266518885581095e-10
-0.7992092010486084,-1.0911169339197146e-05,-0.0005106910445513216,1.0861079110205779e-05,-0.5001827095360802,6.660741445487879e-10
-0.7994856933938148,-1.0765817827995039e-05,-0.0006187243983185179,1.0747172750651253e-05,-0.6009026439183095,-1.8615794030226424e-10
-0.7996083754277804,-1.01358874219774e-05,-0.0005967515128054957,1.0304476914271207e-05,-0.7011098782018769,8.916649905395386e-10
-0.7995223148964913,-9.507452629832644e-06,-0.0003770226576859326,9.603475094270534e-06,-0.8007403248744485,1.0169932383115988e-09
-0.7994069571630606,-9.571819419473202e-06,-0.0004923803066248024,9.418684767117796e-06,-0.9013595503087264,4.941954047477379e-10
-0.7998244422935716,-9.785526023976905e-06,-0.0005308328562704262,9.863611817974349e-06,-1.0007153362141579,3.8319038529188904e-10
-0.7996724630574645,-9.531105486266802e-06,-0.0005784407748796427,9.511423194459789e-06,-1.10147921631913,9.847659745988206e-10
-0.7992604711523551,-9.363984484248228e-06,-0.0007322509734634701,9.333212089481245e-06,-1.201197554437187,8.916649905395386e-10
-0.7997237331612113,-9.508671278173502e-06,-0.0004942113804180539,9.537167976880425e-06,-1.301349856567326,3.438015074197024e-10
-0.7995992200521117,-8.993903140368191e-06,-0.0004191373549180593,8.95653731735325e-06,-1.4016358269374734,1.546952686034868e-09
-0.7995699228499705,-8.731007457378402e-06,-0.0005784407748796427,8.633125639522197e-06,-1.501028234278523,7.985640064802566e-10
-0.7996340104796544,-8.762138383177035e-06,-0.0007102780879517802,8.855446138381474e-06,-1.601621824707868,9.74023553361662e-10
-0.7994417475906034,-8.42767480671426e-06,-0.0004850560114544611,8.476025256128604e-06,-1.7016166546648466,-7.304406163417449e-10
-0.8000588199107004,-8.589588856730936e-06,-0.000580271848672228,8.698288544360242e-06,-1.8011994934711137,7.627559356871228e-10
-0.7996669698320633,-8.210589222719965e-06,-0.0005857650700506501,8.30794043223551e-06,-1.901875482130601,5.733694108375066e-11
-0.7993556870593136,-8.441744655740673e-06,-0.0006352040624517857,8.411663300076965e-06,-2.0010975997960236,1.0886093798965637e-09
