t,i_d
0.0045000000000000005,-4.5922304414290336e-08
0.0105,-4.126928347639959e-08
0.023,-4.165703522124565e-08
0.049,-4.1380069689201225e-08
0.10600000000000001,-4.049377998674777e-08
0.2275,-4.0438386880367094e-08
0.488,-3.9939848922739545e-08
1.048,-3.999524202914037e-08
2.249,-3.92197385395087e-08
4.8265,-3.811187641145195e-08
10.3585,-3.595154526169897e-08
22.2295,-3.4289752069634e-08
47.705,-3.3237283047957916e-08
102.32,-2.980291045094571e-08
219.69,-2.775336551401453e-08
471.385,-2.409742049141919e-08
1011.665,-2.2934165256921317e-08
2170.6679999999997,-2.514988951307512e-08
4660.464,-2.7310220662807948e-08
9998.742,-4.1712428327646466e-08
