t,i_d
0.010150300000000001,-6.978812715631094e-06
0.0116346,-7.056141492170028e-06
0.013670900000000001,-7.2169476800586075e-06
0.0157639,-7.066500003067425e-06
0.017876100000000002,-7.173685663957691e-06
0.0209042,-7.157843235526371e-06
0.0238673,-7.121948502577066e-06
0.026838400000000002,-7.024235062881764e-06
0.030867000000000002,-7.118347950660852e-06
0.0358643,-6.9674017357120214e-06
0.0408518,-7.169032643019821e-06
0.046854200000000006,-7.3290633274187895e-06
0.0538186,-7.272063820929844e-06
0.0618075,-7.252787019901531e-06
0.0707796,-7.324853451332125e-06
0.08173000000000001,-7.119898957640155e-06
0.0934056,-7.2111314038863e-06
0.1080035,-6.9860138194635235e-06
0.12360670000000001,-6.953276493579187e-06
0.1421872,-7.156624587185492e-06
0.1631271,-7.300702056940319e-06
0.18805860000000002,-7.358920211770122e-06
0.216005,-7.166152201486857e-06
0.24851830000000003,-7.02334877317931e-06
0.2855687,-7.2053705208203525e-06
0.3284134,-7.096301494312358e-06
0.3769594,-6.924084326504684e-06
0.4336123,-6.923142643695829e-06
0.498155,-6.9593697352835585e-06
0.5728341,-7.256442964924147e-06
0.6839612,-7.278323241953419e-06
0.7570234,-7.2787109936982455e-06
0.8702626000000001,-7.186426078430445e-06
1.0001735,-7.07868648647615e-06
1.1505668,-7.165875235954853e-06
1.322283,-7.211297583205502e-06
1.5201502,-7.143828779606338e-06
1.7484694,-7.097243177121211e-06
2.0098576,-6.821440900339486e-06
2.3105017,-6.90076382870893e-06
2.6565195000000004,-6.9082418980733636e-06
3.0539777000000004,-6.377686724943133e-06
3.5122311,-6.760674662615144e-06
4.037798400000001,-6.70572470106313e-06
4.6421642,-6.4747354473616055e-06
5.337387700000001,-6.470137819530135e-06
6.1362693,-6.548131313345899e-06
7.055469100000001,-6.121825966466549e-06
8.111927,-5.804589646095196e-06
9.3267045,-5.765592899187324e-06
10.7233017,-5.792458555792891e-06
12.328894,-5.766866940634583e-06
14.175812500000001,-5.862641621605797e-06
16.297858100000003,-5.922632355840487e-06
18.7386489,-5.504026650751195e-06
21.5449036,-5.294862280972581e-06
24.771000700000002,-5.110624809075405e-06
28.481312300000003,-4.715228815569065e-06
32.7459409,-5.031634239344386e-06
37.650347700000005,-4.739435603067273e-06
43.2886248,-4.8147148346692755e-06
49.7704524,-4.649975736226056e-06
57.2244966,-4.233696541605678e-06
65.794343,-3.920282345576162e-06
75.6472207,-4.005532336330736e-06
86.975852,-3.7600300887515705e-06
100.0005337,-3.7353801564021364e-06
114.9757828,-3.606535790908201e-06
132.1944807,-3.4136016013057133e-06
151.991592,-2.8922416838384022e-06
174.7529431,-2.9084718640145683e-06
200.9240478,-2.6276842076565275e-06
231.0132063,-2.462889716106887e-06
265.60933070000004,-2.332660522952871e-06
305.38580410000003,-2.030934272374432e-06
351.1192671,-1.9339409430623605e-06
403.70185180000004,-1.780834396963777e-06
464.15966390000006,-1.614378112222051e-06
533.670247,-1.5091312100558737e-06
613.5910412000001,-1.3611762228528287e-06
705.4808128000001,-1.3411239183348646e-06
811.1313406,-1.1180558788490196e-06
932.6042070000001,-1.0245523152403405e-06
1072.2679745,-9.294977446523781e-07
1232.8477282000001,-7.745632260425272e-07
1417.4747297000001,-7.548986732693688e-07
1629.7512501,-5.030816115602275e-07
1873.8181417,-5.44958800001083e-07
2154.4356667,-4.893995142786399e-07
2477.0769116,-4.551111814150195e-07
2848.0365746,-4.706766443143358e-07
3274.5493088000003,-4.2564204880851244e-07
3764.9368688000004,-4.885686176825874e-07
4328.761788700001,-3.886948468375317e-07
4977.0243253,-3.494765275040567e-07
5722.3681093000005,-3.902458538168152e-07
6579.3328179,-4.055897442905281e-07
7564.634120600001,-3.3784397515936007e-07
8697.4906572,-3.659836732122272e-07
10000.000515,-2.9447117284564205e-07
