t,i_d
0.0107729,-5.751480429908612e-07
0.013179900000000001,-5.673376149879825e-07
0.014718,-5.930954094654934e-07
0.0163904,-6.253895904985834e-07
0.0179349,-6.262758802010369e-07
0.0208089,-6.236724042000975e-07
0.0237311,-6.43669315611661e-07
0.026775200000000002,-6.087162654712306e-07
0.030762,-5.712151324362214e-07
0.035746,-6.258881284562109e-07
0.040737800000000005,-5.649557114126465e-07
0.0466827,-5.752034360972619e-07
0.05368800000000001,-5.384224134455039e-07
0.061627900000000006,-5.560928143881319e-07
0.0706036,-5.098949636478309e-07
0.0811857,-5.085101359877298e-07
0.0941623,-4.7062125120793494e-07
0.1081426,-4.6918103044145314e-07
0.1241016,-5.994102235954692e-07
0.1420663,-5.548741660472534e-07
0.16361040000000002,-5.110028257758876e-07
0.18751030000000002,-5.590840421338973e-07
0.2164798,-4.918368109603769e-07
0.24836560000000002,-5.302796268042202e-07
0.28525860000000003,-5.419675722553176e-07
0.3282762,-4.936093903652637e-07
0.37686580000000003,-5.287286198249166e-07
0.43366350000000004,-5.930954094654934e-07
0.4979585,-4.946064662805187e-07
0.5723686,-5.48116207066071e-07
0.6582089,-6.019029133836272e-07
0.7568870000000001,-5.636816699653872e-07
0.8701984,-6.033431341500888e-07
1.0002094000000001,-5.65454249370274e-07
1.1500052,-6.25223411179381e-07
1.3221659000000001,-6.351387772255514e-07
1.5209295,-6.152526520268098e-07
1.7480460000000002,-6.108765966209433e-07
2.0097905000000003,-6.121506380682226e-07
2.3108644000000003,-5.989116856378417e-07
2.6566606000000004,-6.397364050570212e-07
3.0544304,-6.339201288846929e-07
3.5120347,-6.197394936454577e-07
4.0376522,-5.959758509984772e-07
4.6418479,-6.323137287989885e-07
5.3374201,-6.458850398677945e-07
6.1363634000000005,-6.672113858330381e-07
7.055438100000001,-6.276053147547171e-07
8.111776,-6.745232758782691e-07
9.3265794,-6.663250961305846e-07
10.7229265,-7.007242152069866e-07
12.3286767,-7.521844110556076e-07
14.1749515,-7.500794730122756e-07
16.2983291,-7.781637779587218e-07
18.738979800000003,-7.429337622862672e-07
21.5448284,-6.816135934978566e-07
24.770933000000003,-8.640784859901656e-07
28.481151800000003,-7.594963011008386e-07
32.7464413,-8.275190357640107e-07
37.6501296,-9.864418580349022e-07
43.2886048,-9.258971927361635e-07
49.770899400000005,-8.654079205438458e-07
57.2242192,-1.1603208190346809e-06
65.79385590000001,-1.0325843156688026e-06
75.6466994,-9.722612227956872e-07
86.9751964,-1.0679805106604797e-06
100.00066740000001,-1.0684236555117063e-06
114.97603720000001,-1.174501454273916e-06
132.1948695,-1.1944983656854795e-06
151.9913639,-1.2649030039240079e-06
174.7533725,-1.3230657656474105e-06
200.9235451,-1.3964616316317042e-06
231.01393430000002,-1.420169881172284e-06
265.6090183,-1.6052382496655124e-06
305.3857446,-1.6679432461139836e-06
351.1197462,-1.6549258661092262e-06
403.702056,-1.7473769606962292e-06
464.1595024,-1.9120606660330683e-06
533.6701945,-2.0169198164543993e-06
613.5915839,-2.248075249475127e-06
705.4811106000001,-2.3191999980968865e-06
811.1309421000001,-2.7392459239526603e-06
932.6034698000001,-2.662692650903379e-06
1072.2681841,-2.6901122385729746e-06
1232.8475008,-2.8352975704558783e-06
1417.4743009000001,-3.0244096357165476e-06
1629.7519191000001,-3.2254312188538977e-06
1873.8181494,-3.1687086778969773e-06
2154.4350224,-3.297553043390933e-06
2477.0772122000003,-3.3887854896370567e-06
2848.0365101,-3.3829692134647086e-06
3274.5498254000004,-3.632736730236919e-06
3764.936375,-3.6147339706558856e-06
4328.7618277,-3.892973544119347e-06
4977.0244748000005,-3.7688375926697043e-06
5722.3684165,-4.309086559420503e-06
6579.3326093000005,-4.63374555604991e-06
7564.6339943,-4.706033559906125e-06
8697.4907019,-4.6972814490944135e-06
10000.000148500001,-4.808732379177724e-06
